id;name;worldUUID;x1;y1;z1;x2;y2;z2
0;1;bfa9b579-ec3f-4170-bdc0-23be13f78810;28;90;30;28;90;30
1;2;bfa9b579-ec3f-4170-bdc0-23be13f78810;28;90;26;28;90;26
2;3;bfa9b579-ec3f-4170-bdc0-23be13f78810;24;90;22;24;90;22
3;4;bfa9b579-ec3f-4170-bdc0-23be13f78810;20;90;26;20;90;26
4;finish;bfa9b579-ec3f-4170-bdc0-23be13f78810;20;90;30;20;90;30
5;bleh;bfa9b579-ec3f-4170-bdc0-23be13f78810;6;66;224;6;66;224
6;blaaah;bfa9b579-ec3f-4170-bdc0-23be13f78810;0;100;0;0;100;0
7;blaaa222h;bfa9b579-ec3f-4170-bdc0-23be13f78810;0;100;0;50;56;4
8;test;bfa9b579-ec3f-4170-bdc0-23be13f78810;50;50;50;50;50;50
9;Magenta;bfa9b579-ec3f-4170-bdc0-23be13f78810;10;74;203;12;76;207
10;Purple;bfa9b579-ec3f-4170-bdc0-23be13f78810;20;76;217;22;78;219
11;Blue;bfa9b579-ec3f-4170-bdc0-23be13f78810;20;81;236;23;83;238
12;Cyan;bfa9b579-ec3f-4170-bdc0-23be13f78810;27;87;242;29;89;244
13;Lime;bfa9b579-ec3f-4170-bdc0-23be13f78810;38;81;227;40;83;229
14;Finish;bfa9b579-ec3f-4170-bdc0-23be13f78810;55;81;201;59;81;205
